id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
19417252,Thu Jan 03 2019 14:49:48 GMT-0500 (EST),2019-01-03,2019-01-03 19:49:48 UTC,Eastern Time (US & Canada),420537,astrobirder,Sequoia Janirella Wrens,2019-01-04 13:03:58 UTC,2023-01-30 19:44:53 UTC,research,CC0,https://www.inaturalist.org/observations/19417252,https://inaturalist-open-data.s3.amazonaws.com/photos/29868325/medium.jpg,,"",,2,0,false,3,"Morningside Park, New York, NY, US",40.8037079169,-73.9591322224,19,,,,19,,open,false,,,Northern Slate-colored Junco,Junco hyemalis hyemalis,Slate-colored Junco,Aves,132764
19417256,Thu Jan 03 2019 15:06:45 GMT-0500 (EST),2019-01-03,2019-01-03 20:06:45 UTC,Eastern Time (US & Canada),420537,astrobirder,Sequoia Janirella Wrens,2019-01-04 13:04:37 UTC,2023-01-30 19:44:53 UTC,research,CC0,https://www.inaturalist.org/observations/19417256,https://inaturalist-open-data.s3.amazonaws.com/photos/29868337/medium.jpg,,"",Continuing rarity,2,0,false,3,"Morningside Park, New York, NY, US",40.8098031568,-73.9566160848,39,,,,39,,open,false,,,Eastern Orange-crowned Warbler,Leiothlypis celata celata,Eastern Orange-crowned Warbler,Aves,979763
19417259,Thu Jan 03 2019 15:07:12 GMT-0500 (EST),2019-01-03,2019-01-03 20:07:12 UTC,Eastern Time (US & Canada),420537,astrobirder,Sequoia Janirella Wrens,2019-01-04 13:05:10 UTC,2023-01-30 19:44:53 UTC,research,CC0,https://www.inaturalist.org/observations/19417259,https://inaturalist-open-data.s3.amazonaws.com/photos/29868571/medium.jpg,,"",,2,0,false,3,"Morningside Park, New York, NY, US",40.8098177569,-73.9564148142,65,,,,65,,open,false,,,Eastern White-breasted Nuthatch,Sitta carolinensis carolinensis,Eastern White-breasted Nuthatch,Aves,475104
19935065,2019-01-28 3:53:27 PM EST,2019-01-28,2019-01-28 20:53:27 UTC,Eastern Time (US & Canada),1435791,jaz124,,2019-01-28 20:53:54 UTC,2020-01-07 04:59:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19935065,https://inaturalist-open-data.s3.amazonaws.com/photos/30754348/medium.jpeg,,"",,1,0,false,2,"114 Morningside Dr, New York, NY 10027, USA",40.8099025721,-73.9565572981,24,,,,24,,,false,,,common ivy,Hedera helix,common ivy,Plantae,55882
19935085,2019-01-28 3:53:54 PM EST,2019-01-28,2019-01-28 20:53:54 UTC,Eastern Time (US & Canada),1435791,jaz124,,2019-01-28 20:56:18 UTC,2020-01-07 04:59:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19935085,https://inaturalist-open-data.s3.amazonaws.com/photos/30754400/medium.jpeg,,"",,1,0,false,2,"112 Morningside Dr, New York, NY 10027, USA",40.8100336231,-73.9565348346,10,,,,10,,,false,,,multiflora rose,Rosa multiflora,multiflora rose,Plantae,78882
19935139,2019-01-28 4:00:23 PM EST,2019-01-28,2019-01-28 21:00:23 UTC,Eastern Time (US & Canada),1435791,jaz124,,2019-01-28 21:00:59 UTC,2020-01-07 05:00:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19935139,https://inaturalist-open-data.s3.amazonaws.com/photos/30754557/medium.jpeg,,"",,1,0,false,2,"49 Morningside Ave, New York, NY 10026, USA",40.8079705434,-73.9571600407,22,,,,22,,,false,,,fortune's spindle,Euonymus fortunei,fortune's spindle,Plantae,130893
19935162,2019-01-28 4:01:00 PM EST,2019-01-28,2019-01-28 21:01:00 UTC,Eastern Time (US & Canada),1435791,jaz124,,2019-01-28 21:02:01 UTC,2019-01-28 22:54:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19935162,https://inaturalist-open-data.s3.amazonaws.com/photos/30754580/medium.jpeg,,"",,2,0,false,2,"49 Morningside Ave, New York, NY 10026, USA",40.8079743152,-73.9571216516,22,,,,22,,,false,,,broad-leaved dock,Rumex obtusifolius,broad-leaved dock,Plantae,63371
19935267,Mon Jan 28 2019 15:29:43 GMT-0500 (EST),2019-01-28,2019-01-28 20:29:43 UTC,Eastern Time (US & Canada),1435799,rainely,,2019-01-28 21:09:42 UTC,2019-01-29 19:00:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19935267,https://inaturalist-open-data.s3.amazonaws.com/photos/30781366/medium.jpg,,"",,1,0,false,3,"St. Nicholas Park, New York, NY, US",40.8100268338,-73.956498541,25,,,,25,,,false,,,garlic mustard,Alliaria petiolata,garlic mustard,Plantae,56061
19949938,Mon Jan 28 2019 16:09:50 GMT-0500 (EST),2019-01-28,2019-01-28 21:09:50 UTC,Eastern Time (US & Canada),1435799,rainely,,2019-01-29 16:38:59 UTC,2019-01-29 18:57:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/19949938,https://inaturalist-open-data.s3.amazonaws.com/photos/30781375/medium.jpg,,"",,1,0,false,3,"Morningside Park, New York, NY, US",40.8065911755,-73.958308613,10,,,,10,,,false,,,common ivy,Hedera helix,common ivy,Plantae,55882
21293603,Sat Mar 16 2019 15:31:57 GMT-0400 (EDT),2019-03-16,2019-03-16 19:31:57 UTC,Eastern Time (US & Canada),758353,kjohn,"",2019-03-16 19:32:11 UTC,2023-07-07 07:02:30 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/21293603,https://inaturalist-open-data.s3.amazonaws.com/photos/32925859/medium.jpg,,"",,1,0,false,3,"Morningside Park, New York, NY, US",40.8035151428,-73.9596479573,10,,,,10,,,false,,,lesser periwinkle,Vinca minor,lesser periwinkle,Plantae,55844
